No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team,year
55,Ｔ−岡田,外野手,1988/02/09,27歳,10年,186cm,96kg,B型,左左,大阪,"8,000万円",オリックス,2015
56,武田　健吾,外野手,1994/04/18,21歳,3年,183cm,78kg,O型,右右,福岡,650万円,オリックス,2015
57,山田　修義,投手,1991/09/19,24歳,6年,184cm,85kg,B型,左左,福井,600万円,オリックス,2015
58,戸田　亮,投手,1988/09/04,27歳,3年,183cm,80kg,O型,右右,東京,780万円,オリックス,2015
59,塚原　頌平,投手,1992/07/08,23歳,5年,184cm,80kg,O型,右左,茨城,700万円,オリックス,2015
60,前田　祐二,投手,1986/01/10,29歳,6年,180cm,67kg,B型,左左,大阪,"1,450万円",オリックス,2015
61,奥浪　鏡,内野手,1995/08/29,20歳,2年,176cm,95kg,A型,右右,広島,500万円,オリックス,2015
62,山崎　勝己,捕手,1982/08/16,33歳,15年,180cm,83kg,O型,右右,兵庫,"3,400万円",オリックス,2015
63,中村　一生,外野手,1982/04/02,33歳,11年,186cm,85kg,AB型,右右,東京,"1,400万円",オリックス,2015
64,森本　将太,投手,1992/05/25,23歳,3年,174cm,70kg,A型,右右,福井,800万円,オリックス,2015
65,近藤　一樹,投手,1983/07/08,32歳,14年,183cm,80kg,A型,右右,神奈川,"1,300万円",オリックス,2015
66,山本　和作,内野手,1986/09/21,29歳,7年,182cm,85kg,AB型,右右,兵庫,"1,000万円",オリックス,2015
67,古川　秀一,投手,1987/07/15,28歳,6年,175cm,80kg,B型,左左,長崎,925万円,オリックス,2015
68,鈴木　優,投手,1997/02/05,18歳,1年,181cm,76kg,B型,右右,愛知,480万円,オリックス,2015
69,柴田　健斗,投手,1989/02/08,26歳,2年,175cm,83kg,O型,右右,愛知,600万円,オリックス,2015
91,マエストリ,投手,1985/06/01,30歳,4年,183cm,80kg,不明,右右,イタリア,"3,000万円",オリックス,2015
97,田中　大輔,捕手,1984/12/18,31歳,9年,175cm,83kg,O型,右右,広島,880万円,オリックス,2015
98,チャベス,外野手,1989/01/26,26歳,1年,190cm,104kg,不明,右右,ベネズエラ,500万円,オリックス,2015
99,カラバイヨ,外野手,1983/10/21,32歳,3年,187cm,105kg,不明,右右,ベネズエラ,"1,000万円",オリックス,2015
115,原　大輝,捕手,1988/06/02,27歳,3年,174cm,76kg,A型,右右,広島,330万円,オリックス,2015
123,佐藤　峻一,投手,1991/01/08,24歳,3年,179cm,71kg,B型,右右,北海道,900万円,オリックス,2015
124,園部　聡,内野手,1995/11/10,20歳,2年,184cm,94kg,O型,右右,福島,500万円,オリックス,2015
1,陽　岱鋼,外野手,1987/01/17,28歳,10年,183cm,87kg,A型,右右,台湾,"18,000万円",日ハム,2015
2,大野　奨太,捕手,1987/01/13,28歳,7年,177cm,83kg,O型,右右,岐阜,"4,300万円",日ハム,2015
3,田中　賢介,内野手,1981/05/20,34歳,14年,176cm,78kg,O型,右左,福岡,"15,000万円",日ハム,2015
4,飯山　裕志,内野手,1979/07/13,36歳,18年,178cm,82kg,B型,右右,鹿児島,"2,450万円",日ハム,2015
5,レアード,内野手,1987/09/11,28歳,1年,185cm,98kg,不明,右右,アメリカ,"6,000万円",日ハム,2015
6,中田　翔,内野手,1989/04/22,26歳,8年,183cm,100kg,O型,右右,広島,"20,000万円",日ハム,2015
7,ハーミッダ,外野手,1984/01/30,31歳,1年,192cm,100kg,不明,右左,アメリカ,"6,000万円",日ハム,2015
8,西川　遥輝,内野手,1992/04/16,23歳,5年,179cm,75kg,A型,右左,和歌山,"4,800万円",日ハム,2015
9,中島　卓也,内野手,1991/01/11,24歳,7年,176cm,70kg,A型,右左,福岡,"4,000万円",日ハム,2015
10,清水　優心,捕手,1996/05/22,19歳,1年,185cm,88kg,A型,右右,山口,600万円,日ハム,2015
11,大谷　翔平,投手,1994/07/05,21歳,3年,193cm,90kg,B型,右左,岩手,"10,000万円",日ハム,2015
12,松本　剛,内野手,1993/08/11,22歳,4年,181cm,80kg,AB型,右右,埼玉,620万円,日ハム,2015
13,石井　裕也,投手,1981/07/04,34歳,11年,178cm,80kg,B型,左左,神奈川,"3,500万円",日ハム,2015
14,大塚　豊,投手,1987/12/20,28歳,6年,182cm,85kg,A型,右右,東京,810万円,日ハム,2015
15,メンドーサ,投手,1983/10/31,32歳,2年,191cm,111kg,不明,右右,メキシコ,"15,000万円",日ハム,2015
16,有原　航平,投手,1992/08/11,23歳,1年,189cm,96kg,AB型,右右,広島,"1,500万円",日ハム,2015
17,浦野　博司,投手,1989/07/22,26歳,2年,178cm,70kg,A型,右右,静岡,"2,400万円",日ハム,2015
18,斎藤　佑樹,投手,1988/06/06,27歳,5年,176cm,76kg,A型,右右,群馬,"2,500万円",日ハム,2015
19,増井　浩俊,投手,1984/06/26,31歳,6年,181cm,70kg,A型,右右,静岡,"12,000万円",日ハム,2015
20,クロッタ,投手,1984/09/25,31歳,2年,201cm,107kg,不明,右右,アメリカ,"8,000万円",日ハム,2015
21,武田　久,投手,1978/10/14,37歳,13年,170cm,73kg,B型,右左,徳島,"8,000万円",日ハム,2015
22,藤岡　好明,投手,1985/03/12,30歳,10年,177cm,81kg,O型,右左,大阪,"2,300万円",日ハム,2015
23,渡邉　諒,内野手,1995/04/30,20歳,2年,178cm,80kg,B型,右右,茨城,690万円,日ハム,2015
24,森本　龍弥,内野手,1994/06/12,21歳,3年,185cm,93kg,O型,右右,兵庫,500万円,日ハム,2015
25,宮西　尚生,投手,1985/06/02,30歳,8年,180cm,78kg,O型,左左,兵庫,"18,000万円",日ハム,2015
26,淺間　大基,外野手,1996/06/21,19歳,1年,183cm,75kg,B型,右左,東京,540万円,日ハム,2015
27,中嶋　聡,捕手,1969/03/27,46歳,29年,182cm,82kg,AB型,右右,秋田,"3,200万円",日ハム,2015
28,新垣　勇人,投手,1985/10/21,30歳,3年,183cm,85kg,A型,右右,神奈川,815万円,日ハム,2015
29,木佐貫　洋,投手,1980/05/17,35歳,13年,188cm,84kg,B型,右右,鹿児島,"6,500万円",日ハム,2015
30,鍵谷　陽平,投手,1990/09/23,25歳,3年,177cm,80kg,O型,右右,北海道,"1,700万円",日ハム,2015
31,岡　大海,外野手,1991/07/15,24歳,2年,185cm,83kg,B型,右右,岡山,840万円,日ハム,2015
32,乾　真大,投手,1988/12/08,27歳,5年,176cm,80kg,A型,左左,兵庫,980万円,日ハム,2015
33,須永　英輝,投手,1985/10/28,30歳,12年,181cm,85kg,O型,左左,東京,560万円,日ハム,2015
34,吉川　光夫,投手,1988/04/06,27歳,9年,178cm,80kg,O型,左左,福岡,"6,000万円",日ハム,2015
35,榎下　陽大,投手,1988/07/21,27歳,5年,178cm,79kg,O型,右右,鹿児島,810万円,日ハム,2015
36,中村　勝,投手,1991/12/11,24歳,6年,184cm,85kg,A型,右右,埼玉,"2,600万円",日ハム,2015
37,矢野　謙次,外野手,1980/09/21,35歳,13年,178cm,81kg,O型,右右,東京,"4,800万円",日ハム,2015
38,武田　勝,投手,1978/07/10,37歳,10年,176cm,73kg,B型,左左,愛知,"11,000万円",日ハム,2015
39,高梨　裕稔,投手,1991/06/05,24歳,2年,187cm,82kg,B型,右右,千葉,760万円,日ハム,2015
40,金平　将至,投手,1991/03/24,24歳,2年,180cm,86kg,O型,左左,京都,800万円,日ハム,2015
42,ガラテ,投手,1984/09/25,31歳,1年,186cm,95kg,不明,左左,ベネズエラ,"2,000万円",日ハム,2015
43,白村　明弘,投手,1991/12/11,24歳,2年,187cm,87kg,B型,右左,岐阜,890万円,日ハム,2015
44,鵜久森　淳志,外野手,1987/02/01,28歳,11年,189cm,92kg,O型,右右,愛媛,960万円,日ハム,2015
45,増渕　竜義,投手,1988/05/03,27歳,9年,186cm,91kg,A型,右右,埼玉,"1,300万円",日ハム,2015
46,瀬川　隼郎,投手,1986/10/21,29歳,1年,177cm,84kg,O型,左左,北海道,840万円,日ハム,2015
47,森内　壽春,投手,1985/01/02,30歳,4年,180cm,86kg,O型,右右,青森,"1,200万円",日ハム,2015
48,谷元　圭介,投手,1985/01/28,30歳,7年,167cm,72kg,A型,右右,三重,"5,200万円",日ハム,2015
49,石川　慎吾,外野手,1993/04/27,22歳,4年,178cm,77kg,O型,右右,大阪,730万円,日ハム,2015
50,宇佐美　塁大,外野手,1994/10/24,21歳,3年,177cm,79kg,B型,右右,広島,480万円,日ハム,2015
51,石川　直也,投手,1996/07/11,19歳,1年,191cm,80kg,A型,右右,山形,520万円,日ハム,2015
52,佐藤　賢治,外野手,1988/08/26,27歳,9年,181cm,87kg,A型,右左,東京,"1,030万円",日ハム,2015
53,立田　将太,投手,1996/06/04,19歳,1年,180cm,87kg,A型,右右,奈良,480万円,日ハム,2015
54,近藤　健介,捕手,1993/08/09,22歳,4年,173cm,85kg,O型,右左,千葉,"1,800万円",日ハム,2015
55,ライブリー,投手,1985/09/07,30歳,1年,198cm,113kg,,右右,アメリカ,-,日ハム,2015
56,市川　友也,捕手,1985/05/09,30歳,6年,176cm,81kg,O型,右右,神奈川,"1,700万円",日ハム,2015
57,屋宜　照悟,投手,1989/03/29,26歳,3年,178cm,84kg,A型,右左,沖縄,770万円,日ハム,2015
58,齊藤　勝,投手,1988/01/06,27歳,5年,187cm,89kg,A型,左左,東京,730万円,日ハム,2015
59,河野　秀数,投手,1987/12/14,28歳,3年,173cm,77kg,B型,右右,京都,"1,500万円",日ハム,2015
60,荒張　裕司,捕手,1989/04/24,26歳,6年,180cm,85kg,O型,右右,大阪,500万円,日ハム,2015
61,杉谷　拳士,内野手,1991/02/04,24歳,7年,173cm,77kg,B型,右両,東京,"1,700万円",日ハム,2015
62,高濱　祐仁,内野手,1996/08/08,19歳,1年,183cm,88kg,B型,右右,佐賀,480万円,日ハム,2015
63,上沢　直之,投手,1994/02/06,21歳,4年,187cm,88kg,A型,右右,千葉,"2,300万円",日ハム,2015
64,谷口　雄也,外野手,1992/06/01,23歳,5年,182cm,87kg,B型,右左,三重,"1,000万円",日ハム,2015
65,太田　賢吾,内野手,1997/01/19,18歳,1年,186cm,72kg,A型,右左,埼玉,470万円,日ハム,2015
66,大嶋　匠,捕手,1990/02/14,25歳,4年,180cm,95kg,A型,右左,群馬,500万円,日ハム,2015
67,岸里　亮佑,外野手,1995/04/03,20歳,2年,180cm,72kg,B型,右左,岩手,460万円,日ハム,2015
68,石川　亮,捕手,1995/07/20,20歳,2年,180cm,83kg,O型,右右,神奈川,460万円,日ハム,2015
69,佐藤　正尭,捕手,1996/04/16,19歳,1年,168cm,78kg,A型,右右,愛知,470万円,日ハム,2015
0,高濱　卓也,内野手,1989/07/06,26歳,8年,184cm,84kg,A型,右左,佐賀,"1,160万円",ロッテ,2015
1,清田　育宏,外野手,1986/02/11,29歳,6年,180cm,85kg,A型,右右,千葉,"2,700万円",ロッテ,2015
2,根元　俊一,内野手,1983/07/08,32歳,10年,177cm,77kg,A型,右左,東京,"5,000万円",ロッテ,2015
3,サブロー,外野手,1976/06/01,39歳,21年,181cm,90kg,B型,右右,岡山,"13,000万円",ロッテ,2015
4,荻野　貴司,外野手,1985/10/21,30歳,6年,172cm,75kg,O型,右右,奈良,"2,730万円",ロッテ,2015
5,伊志嶺　翔大,外野手,1988/05/12,27歳,5年,179cm,79kg,A型,右右,沖縄,"2,810万円",ロッテ,2015
6,井口　資仁,内野手,1974/12/04,41歳,15年,178cm,91kg,O型,右右,東京,"18,000万円",ロッテ,2015
7,鈴木　大地,内野手,1989/08/18,26歳,4年,175cm,79kg,O型,右左,静岡,"7,000万円",ロッテ,2015
8,今江　敏晃,内野手,1983/08/26,32歳,14年,180cm,89kg,B型,右右,京都,"20,000万円",ロッテ,2015
9,福浦　和也,内野手,1975/12/14,40歳,22年,183cm,88kg,B型,左左,千葉,"4,500万円",ロッテ,2015
10,大松　尚逸,内野手,1982/06/16,33歳,11年,184cm,93kg,B型,左左,石川,"3,160万円",ロッテ,2015
11,大嶺　祐太,投手,1988/06/16,27歳,9年,184cm,80kg,A型,右左,沖縄,"1,820万円",ロッテ,2015
12,石川　歩,投手,1988/04/11,27歳,2年,186cm,80kg,A型,右右,富山,"3,700万円",ロッテ,2015
13,中後　悠平,投手,1989/09/17,26歳,4年,182cm,72kg,O型,左左,大阪,"1,060万円",ロッテ,2015
14,大谷　智久,投手,1985/02/14,30歳,6年,176cm,82kg,A型,右右,兵庫,"5,000万円",ロッテ,2015
15,上野　大樹,投手,1986/10/13,29歳,7年,182cm,88kg,B型,右右,東京,"2,200万円",ロッテ,2015
16,涌井　秀章,投手,1986/06/21,29歳,11年,185cm,85kg,A型,右右,千葉,"22,000万円",ロッテ,2015
18,藤岡　貴裕,投手,1989/07/17,26歳,4年,183cm,85kg,AB型,左左,群馬,"3,500万円",ロッテ,2015
19,唐川　侑己,投手,1989/07/05,26歳,8年,181cm,80kg,O型,右右,千葉,"6,000万円",ロッテ,2015
20,服部　泰卓,投手,1982/09/10,33歳,8年,173cm,71kg,A型,左左,徳島,"1,820万円",ロッテ,2015
21,内　竜也,投手,1985/07/13,30歳,12年,182cm,87kg,A型,右右,神奈川,"1,875万円",ロッテ,2015
23,中村　奨吾,内野手,1992/05/28,23歳,1年,180cm,79kg,A型,右右,兵庫,"1,500万円",ロッテ,2015
24,吉田　裕太,捕手,1991/07/21,24歳,2年,183cm,94kg,O型,右右,千葉,"1,420万円",ロッテ,2015
25,金澤　岳,捕手,1984/05/05,31歳,13年,180cm,82kg,O型,右左,栃木,"1,470万円",ロッテ,2015
27,古谷　拓哉,投手,1981/07/14,34歳,10年,180cm,74kg,A型,左左,北海道,"3,600万円",ロッテ,2015
28,松永　昂大,投手,1988/04/16,27歳,3年,175cm,82kg,O型,左左,香川,"3,900万円",ロッテ,2015
29,西野　勇士,投手,1991/03/06,24歳,7年,182cm,82kg,A型,右右,富山,"6,000万円",ロッテ,2015
30,伊藤　義弘,投手,1982/06/02,33歳,8年,177cm,78kg,B型,右右,福岡,"3,000万円",ロッテ,2015
31,田中　英祐,投手,1992/04/02,23歳,1年,180cm,75kg,O型,右右,兵庫,"1,500万円",ロッテ,2015
33,南　昌輝,投手,1989/01/18,26歳,5年,182cm,88kg,A型,右右,和歌山,"1,790万円",ロッテ,2015
34,木村　優太,投手,1985/05/21,30歳,7年,190cm,93kg,B型,左左,秋田,"1,030万円",ロッテ,2015
35,寺嶋　寛大,捕手,1992/10/12,23歳,1年,184cm,84kg,O型,右右,東京,"1,000万円",ロッテ,2015
36,川満　寛弥,投手,1991/03/04,24歳,3年,186cm,80kg,AB型,左左,沖縄,960万円,ロッテ,2015
37,三木　亮,内野手,1991/10/25,24歳,2年,175cm,78kg,A型,右右,大阪,"1,200万円",ロッテ,2015
38,イ・デウン,投手,1989/03/23,26歳,1年,188cm,86kg,不明,右左,韓国,"5,400万円",ロッテ,2015
39,川本　良平,捕手,1982/04/28,33歳,11年,178cm,85kg,A型,右右,広島,"1,780万円",ロッテ,2015
40,吉原　正平,投手,1989/09/14,26歳,2年,174cm,75kg,B型,右右,福岡,"1,150万円",ロッテ,2015
41,小林　敦,投手,1986/02/24,29歳,5年,178cm,85kg,B型,右右,静岡,850万円,ロッテ,2015
42,香月　良仁,投手,1984/01/22,31歳,7年,180cm,82kg,A型,右右,福岡,900万円,ロッテ,2015
43,黒沢　翔太,投手,1988/08/05,27歳,5年,181cm,84kg,B型,右右,埼玉,500万円,ロッテ,2015
44,井上　晴哉,内野手,1989/07/03,26歳,2年,180cm,114kg,A型,右右,広島,"1,250万円",ロッテ,2015
45,田村　龍弘,捕手,1994/05/13,21歳,3年,174cm,80kg,A型,右右,大阪,"1,260万円",ロッテ,2015
46,岩下　大輝,投手,1996/10/02,19歳,1年,181cm,80kg,O型,右右,石川,600万円,ロッテ,2015
47,クルーズ,内野手,1984/02/10,31歳,2年,183cm,95kg,不明,右右,メキシコ,"8,500万円",ロッテ,2015
48,宮崎　敦次,投手,1992/12/08,23歳,1年,171cm,72kg,A型,左左,山口,800万円,ロッテ,2015
49,チェン・グァンユウ,投手,1990/10/29,25歳,5年,179cm,75kg,不明,左左,台湾,600万円,ロッテ,2015
50,大嶺　翔太,内野手,1991/09/17,24歳,6年,180cm,82kg,A型,右右,沖縄,620万円,ロッテ,2015
51,植松　優友,投手,1989/11/27,26歳,8年,183cm,83kg,A型,左左,大阪,500万円,ロッテ,2015
52,益田　直也,投手,1989/10/25,26歳,4年,177cm,80kg,B型,右右,和歌山,"8,000万円",ロッテ,2015
53,江村　直也,捕手,1992/05/06,23歳,5年,176cm,83kg,B型,右右,広島,"1,050万円",ロッテ,2015
54,デスパイネ,外野手,1986/06/17,29歳,2年,175cm,95kg,不明,右右,キューバ,"25,000万円",ロッテ,2015
55,ベク・チャスン,投手,1980/05/29,35歳,2年,191cm,100kg,不明,右右,韓国,500万円,ロッテ,2015
56,ハフマン,外野手,1985/04/29,30歳,2年,183cm,98kg,不明,右右,アメリカ,"2,600万円",ロッテ,2015
57,香月　一也,内野手,1996/04/16,19歳,1年,176cm,83kg,A型,右左,福岡,500万円,ロッテ,2015
58,矢地　健人,投手,1988/01/15,27歳,6年,180cm,68kg,O型,右右,富山,500万円,ロッテ,2015
59,細谷　圭,内野手,1988/01/17,27歳,10年,182cm,84kg,B型,右右,群馬,"1,060万円",ロッテ,2015
60,阿部　和成,投手,1989/05/19,26歳,8年,183cm,80kg,A型,右右,福岡,760万円,ロッテ,2015
61,角中　勝也,外野手,1987/05/25,28歳,9年,180cm,85kg,A型,右左,石川,"7,100万円",ロッテ,2015
62,脇本　直人,外野手,1996/06/10,19歳,1年,180cm,80kg,A型,右左,群馬,480万円,ロッテ,2015
63,青松　慶侑,内野手,1986/12/07,29歳,11年,185cm,83kg,O型,右右,京都,630万円,ロッテ,2015
64,二木　康太,投手,1995/08/01,20歳,2年,187cm,75kg,O型,右右,鹿児島,500万円,ロッテ,2015
65,加藤　翔平,外野手,1991/03/28,24歳,3年,183cm,84kg,AB型,右両,埼玉,"2,100万円",ロッテ,2015
66,岡田　幸文,外野手,1984/07/06,31歳,7年,177cm,70kg,O型,左左,栃木,"4,000万円",ロッテ,2015
67,金森　敬之,投手,1985/07/24,30歳,11年,183cm,87kg,O型,右右,大阪,660万円,ロッテ,2015
68,早坂　圭介,内野手,1984/06/19,31歳,13年,176cm,63kg,O型,右両,神奈川,"1,170万円",ロッテ,2015
69,肘井　竜蔵,捕手,1995/11/13,20歳,2年,182cm,88kg,A型,右左,兵庫,420万円,ロッテ,2015
99,カルロス・ロサ,投手,1984/09/21,31歳,5年,183cm,89kg,不明,右右,ドミニカ共和国,"6,500万円",ロッテ,2015
0,上本　崇司,内野手,1990/08/22,24歳,2年,170cm,71kg,A型,右右,広島,"1,030万円",広島,2014
0,中東　直己,外野手,1981/10/05,33歳,8年,168cm,73kg,B型,右左,広島,"1,200万円",広島,2014
2,東出　輝裕,内野手,1980/08/21,34歳,16年,171cm,75kg,A型,右左,福井,"7,000万円",広島,2014
4,小窪　哲也,内野手,1985/04/12,29歳,7年,175cm,80kg,O型,右右,奈良,"1,480万円",広島,2014
5,栗原　健太,内野手,1982/01/08,32歳,15年,183cm,97kg,O型,右右,山形,"8,400万円",広島,2014
6,梵　英心,内野手,1980/10/11,34歳,9年,173cm,76kg,B型,右右,広島,"10,000万円",広島,2014
7,堂林　翔太,内野手,1991/08/17,23歳,5年,183cm,83kg,A型,右右,愛知,"2,000万円",広島,2014
9,丸　佳浩,外野手,1989/04/11,25歳,7年,177cm,90kg,AB型,右左,千葉,"5,100万円",広島,2014
10,岩本　貴裕,外野手,1986/04/18,28歳,6年,182cm,96kg,A型,左左,広島,"2,000万円",広島,2014
11,福井　優也,投手,1988/02/08,26歳,4年,178cm,80kg,A型,右右,岡山,"2,200万円",広島,2014
12,九里　亜蓮,投手,1991/09/01,23歳,1年,187cm,92kg,A型,右右,鳥取,"1,200万円",広島,2014
13,キラ,内野手,1984/03/29,30歳,2年,193cm,105kg,不明,右左,アメリカ,"10,300万円",広島,2014
14,大瀬良　大地,投手,1991/06/17,23歳,1年,187cm,93kg,AB型,右右,長崎,"1,500万円",広島,2014
16,今村　猛,投手,1991/04/17,23歳,5年,183cm,95kg,B型,右右,長崎,"5,000万円",広島,2014
18,前田　健太,投手,1988/04/11,26歳,8年,182cm,81kg,A型,右右,大阪,"28,000万円",広島,2014
19,野村　祐輔,投手,1989/06/24,25歳,3年,177cm,82kg,AB型,右右,岡山,"6,000万円",広島,2014
20,永川　勝浩,投手,1980/12/14,34歳,12年,188cm,98kg,O型,右右,広島,"6,000万円",広島,2014
21,篠田　純平,投手,1985/04/20,29歳,7年,187cm,86kg,A型,左左,神奈川,"1,500万円",広島,2014
22,中村　恭平,投手,1989/03/22,25歳,4年,185cm,82kg,O型,左左,福岡,"1,100万円",広島,2014
23,横山　竜士,投手,1976/06/11,38歳,20年,178cm,85kg,B型,右右,福井,"4,500万円",広島,2014
24,河内　貴哉,投手,1982/01/06,32歳,15年,188cm,94kg,O型,左左,京都,"1,200万円",広島,2014
25,高橋　大樹,外野手,1994/05/11,20歳,2年,181cm,85kg,O型,右右,大阪,700万円,広島,2014
26,廣瀬　純,外野手,1979/03/29,35歳,14年,181cm,85kg,B型,右右,大分,"6,000万円",広島,2014
27,上村　和裕,捕手,1983/02/20,31歳,14年,178cm,88kg,O型,右両,北海道,650万円,広島,2014
28,岩見　優輝,投手,1987/01/25,27歳,4年,177cm,83kg,A型,左左,大阪,900万円,広島,2014
29,江草　仁貴,投手,1980/09/03,34歳,12年,178cm,83kg,A型,左左,広島,"2,000万円",広島,2014
30,一岡　竜司,投手,1991/01/11,23歳,3年,179cm,82kg,O型,右右,福岡,"1,050万円",広島,2014
31,石原　慶幸,捕手,1979/09/07,35歳,13年,177cm,90kg,A型,右右,岐阜,"10,000万円",広島,2014
32,白濱　裕太,捕手,1985/10/31,29歳,11年,180cm,92kg,A型,右右,大阪,750万円,広島,2014
33,菊池　涼介,内野手,1990/03/11,24歳,3年,171cm,69kg,A型,右右,東京,"3,900万円",広島,2014
34,中田　廉,投手,1990/07/21,24歳,6年,189cm,91kg,AB型,右右,大阪,"1,400万円",広島,2014
35,下水流　昂,外野手,1988/04/23,26歳,2年,178cm,88kg,A型,右右,神奈川,860万円,広島,2014
36,齊藤　悠葵,投手,1987/06/20,27歳,9年,186cm,84kg,O型,左左,福井,"1,150万円",広島,2014
37,松山　竜平,外野手,1985/09/18,29歳,7年,176cm,95kg,B型,右左,鹿児島,"2,200万円",広島,2014
38,赤松　真人,外野手,1982/09/06,32歳,10年,182cm,75kg,O型,右右,京都,"2,800万円",広島,2014
39,梅津　智弘,投手,1983/03/03,31歳,10年,191cm,91kg,O型,右右,山形,"1,850万円",広島,2014
40,倉　義和,捕手,1975/07/27,39歳,17年,179cm,90kg,O型,右右,京都,"3,300万円",広島,2014
41,上野　弘文,投手,1981/04/10,33歳,8年,176cm,83kg,O型,右右,鹿児島,"1,180万円",広島,2014
42,バリントン,投手,1980/09/30,34歳,4年,193cm,97kg,不明,右右,アメリカ,"13,900万円",広島,2014
43,土生　翔平,外野手,1989/08/16,25歳,3年,180cm,87kg,O型,右左,広島,750万円,広島,2014
44,迎　祐一郎,外野手,1981/12/22,33歳,15年,180cm,81kg,AB型,右右,佐賀,"1,100万円",広島,2014
45,松本　高明,内野手,1984/04/12,30歳,12年,177cm,76kg,B型,右左,東京,720万円,広島,2014
46,大島　崇行,投手,1983/12/20,31歳,13年,185cm,87kg,O型,左左,山梨,700万円,広島,2014
47,小野　淳平,投手,1987/04/05,27歳,5年,178cm,82kg,B型,右右,大分,"1,400万円",広島,2014
48,西原　圭大,投手,1988/09/29,26歳,1年,179cm,81kg,B型,右右,愛媛,800万円,広島,2014
49,天谷　宗一郎,外野手,1983/11/08,31歳,13年,178cm,87kg,O型,左左,福井,"2,400万円",広島,2014
50,鈴木　将光,外野手,1987/04/08,27歳,9年,182cm,85kg,A型,右右,富山,600万円,広島,2014
51,鈴木　誠也,内野手,1994/08/18,20歳,2年,181cm,87kg,A型,右右,東京,650万円,広島,2014
52,庄司　隼人,内野手,1991/06/21,23歳,5年,175cm,76kg,A型,右左,静岡,550万円,広島,2014
53,戸田　隆矢,投手,1993/06/10,21歳,3年,181cm,72kg,A型,左左,兵庫,550万円,広島,2014
54,武内　久士,投手,1987/11/29,27歳,5年,185cm,95kg,A型,右右,徳島,760万円,広島,2014
55,エルドレッド,内野手,1980/07/12,34歳,3年,196cm,122kg,不明,右右,アメリカ,"5,100万円",広島,2014
56,中崎　翔太,投手,1992/08/10,22歳,4年,186cm,96kg,B型,右右,鹿児島,900万円,広島,2014
57,ミコライオ,投手,1984/05/10,30歳,3年,205cm,115kg,不明,右右,アメリカ,"12,000万円",広島,2014
58,フィリップス,投手,1986/09/21,28歳,1年,183cm,86kg,不明,左左,アメリカ,"4,000万円",広島,2014
59,美間　優槻,内野手,1994/05/26,20歳,2年,177cm,90kg,B型,右右,徳島,500万円,広島,2014
60,安部　友裕,内野手,1989/06/24,25歳,7年,181cm,81kg,O型,右左,福岡,"1,050万円",広島,2014
61,磯村　嘉孝,捕手,1992/11/01,22歳,4年,178cm,89kg,A型,右右,愛知,600万円,広島,2014
62,今井　啓介,投手,1987/05/24,27歳,9年,183cm,89kg,B型,右右,新潟,"2,150万円",広島,2014
63,田中　広輔,内野手,1989/07/03,25歳,1年,171cm,81kg,A型,右左,神奈川,"1,100万円",広島,2014
64,會澤　翼,捕手,1988/04/13,26歳,8年,177cm,91kg,B型,右右,茨城,900万円,広島,2014
65,久本　祐一,投手,1979/03/14,35歳,13年,177cm,83kg,O型,左左,大阪,"2,300万円",広島,2014
66,木村　昇吾,内野手,1980/04/16,34歳,12年,182cm,78kg,A型,右左,大阪,"3,100万円",広島,2014
67,中村　祐太,投手,1995/08/31,19歳,1年,182cm,80kg,A型,右右,東京,460万円,広島,2014
68,池ノ内　亮介,投手,1988/11/22,26歳,4年,175cm,74kg,O型,右右,三重,500万円,広島,2014
69,ロサリオ,外野手,1989/03/29,25歳,1年,186cm,100kg,不明,右右,ドミニカ共和国,"1,020万円",広島,2014
70,ヒース,投手,1985/08/28,29歳,1年,193cm,109kg,不明,右右,アメリカ,-,広島,2014
99,中村　憲,外野手,1989/09/27,25歳,7年,186cm,90kg,B型,左左,京都,525万円,広島,2014
120,永川　光浩,投手,1987/11/02,27歳,5年,189cm,85kg,O型,左左,広島,430万円,広島,2014
124,辻　空,投手,1994/04/24,20歳,2年,184cm,84kg,O型,右右,岐阜,310万円,広島,2014
126,中村　亘佑,捕手,1991/04/02,23歳,5年,181cm,87kg,O型,右右,神奈川,375万円,広島,2014
136,森下　宗,外野手,1991/02/23,23歳,2年,176cm,75kg,B型,左左,静岡,355万円,広島,2014
0,柴田　講平,外野手,1986/07/17,28歳,6年,177cm,73kg,A型,左左,福岡,"1,150万円",阪神,2014
0,大和,外野手,1987/11/05,27歳,9年,177cm,65kg,A型,右右,鹿児島,"4,800万円",阪神,2014
1,鳥谷　敬,内野手,1981/06/26,33歳,11年,180cm,77kg,B型,右左,東京,"30,000万円",阪神,2014
2,北條　史也,内野手,1994/07/29,20歳,2年,177cm,72kg,O型,右右,大阪,720万円,阪神,2014
3,関本　賢太郎,内野手,1978/08/26,36歳,18年,186cm,94kg,O型,右右,奈良,"5,700万円",阪神,2014
4,上本　博紀,内野手,1986/07/04,28歳,6年,173cm,63kg,O型,右右,広島,"1,850万円",阪神,2014
5,ゴメス,内野手,1984/09/07,30歳,1年,188cm,104kg,不明,右右,ドミニカ共和国,"12,000万円",阪神,2014
7,西岡　剛,内野手,1984/07/27,30歳,10年,182cm,86kg,A型,右両,大阪,"20,000万円",阪神,2014
